Das Fenster,window
Die Tür,door
Der Boden,floor
Die Wand,wall
Die Decke,ceiling
Der Raum,room
Der Flur,hallway
Das Treppenhaus,staircase
Das Dach,roof
Die Treppe,stairs
Die Eingangstür,entrance door
Das Schlafzimmer,bedroom
Das Badezimmer,bathroom
Die Küche,kitchen
Das Wohnzimmer,living room
Das Esszimmer,dining room
Der Keller,basement
Der Dachboden,attic
Die Garage,garage
Die Terrasse,terrace
Die Veranda,veranda
Das Gästezimmer,guest room
Die Garderobe,coatroom
Das Arbeitszimmer,study / home office
Das Kinderzimmer,children's room
Der Waschraum,laundry room
Der Abstellraum,storage room
Die Bibliothek,library
Der Heizungskeller,boiler room
Die Speisekammer,pantry
Der Aufzug,elevator / lift
Der Korridor,corridor
Das Wartezimmer,waiting room
Das Gästebad,guest bathroom
Die Toilette,toilet
Der Kamin,fireplace
Der Kellerraum,cellar room
Die Galerie,gallery
Der Wintergarten,conservatoryalkon,balcony
Der Wohnflur,living area hallway
Die Haustür,front door
Die Sitzgruppe,seating area
Der Teppich,carpet / rug
Die Schiebetür,sliding door
Das Panoramafenster,panoramic window
Der Kellereingang,cellar entrance
Die Hausnummer,house number
Der Sicherungskasten,fuse box
Das Gewächshaus,greenhouse
Der Müllschlucker,garbage chute
Der Fahrradständer,bike rack
Der Vorraum,vestibule
Die Terrassentür,patio door
Der Wasserkocher,kettle
Der Kühlschrank,refrigerator
Die Geschirrspülmaschine,dishwasher
Der Abzugshaube,range hood
Das Wohnzimmerfenster,living room window
Die Schlafzimmertür,bedroom door
